id,region,foco,conflicto,tipo,estado,sectores,exposicion,teatro,tier,lat,lon
1,Europa y Cáucaso,Rusia - Ucrania,Guerra Rusia-Ucrania,Guerra convencional a gran escala,Activo — alta intensidad,"Energía, Agro, Minerales críticos, Defensa, Banca",Alta,Rusia–Ucrania,Núcleo,48.5,35.0
2,Europa y Cáucaso,Ucrania (regiones del este),Regiones anexadas,Conflicto armado no internacional,Activo — subsumido,"Energía, Defensa",Alta (vía nodo 1),Rusia–Ucrania,Excluido,47.9,37.8
3,Europa y Cáucaso,Armenia - Azerbaiyán,Nagorno Karabaj,Conflicto territorial remanente,Baja intensidad — resuelto militarmente (2023),Energía,Media,—,Watchlist,39.8,46.7
4,Europa y Cáucaso,Moldova (Transnistria),Ocupación rusa,Conflicto congelado,Congelado,—,Baja,—,Excluido,46.8,29.6
5,Europa y Cáucaso,Georgia (Abjasia y Osetia),Ocupación rusa,Conflicto congelado,Congelado,Energía,Baja,—,Excluido,42.9,41.9
6,Europa y Cáucaso,Chipre,División territorial,Conflicto congelado,Congelado,Energía,Baja,—,Excluido,35.1,33.4
7,Medio Oriente y NA,Israel - Palestina,Gaza y Cisjordania,Conflicto armado internacional y ocupación,Activo — alta intensidad,"Energía, Defensa, Logística",Alta (vía nodo 9),Complejo Israel–Irán,Núcleo,31.4,34.4
8,Medio Oriente y NA,Israel - Líbano,Israel - Hezbolá,Enfrentamiento armado interestatal,Activo — intermitente,"Energía, Defensa",Alta (vía nodo 9),Complejo Israel–Irán,Núcleo,33.4,35.5
9,Medio Oriente y NA,Irán vs. Israel / EE.UU.,Irán–Israel–EE.UU.,Tensión interestatal / riesgo de escalada,Escalada kinética 2026 (verificar primario),"Energía, Defensa, Tecnología, Banca",Alta,Complejo Israel–Irán,Núcleo,26.6,56.3
10,Medio Oriente y NA,Siria,Guerra en Siria,Conflicto de múltiples actores,Transición post-Assad (gob. al-Sharaa desde dic-2024); fragmentación residual,Energía,Media,—,Watchlist,35.0,38.5
11,Medio Oriente y NA,Yemen,Guerra en Yemen,Guerra civil / insurgencia Houthi,Activo — ataques al Mar Rojo,"Energía, Logística",Alta (vía nodo 9),Complejo Israel–Irán,Núcleo,15.5,44.2
12,Medio Oriente y NA,Irak,Conflicto interno crónico,Insurgencia y disputas de milicias,Activo — baja intensidad,Energía,Media,—,Watchlist,33.3,44.4
13,Medio Oriente y NA,Libia,Guerra en Libia,Guerra civil fragmentada,Activo — fragmentado,Energía,Media,—,Watchlist,27.0,17.0
14,Medio Oriente y NA,Egipto (Sinaí),Insurgencia yihadista,Conflicto armado no internacional,Activo — localizado,Logística,Baja,—,Excluido,30.0,33.8
15,Medio Oriente y NA,Marruecos - Sáhara Occidental,Sáhara Occidental,Conflicto territorial e insurgencia,Baja intensidad,Agro,Baja,—,Excluido,24.5,-13.0
16,África Subsahariana,Sudán,Guerra civil sudanesa,Guerra civil activa,Activo — alta intensidad,"Minería, Agro",Media,—,Watchlist,15.5,32.5
17,África Subsahariana,Rep. Dem. del Congo,Este del Congo (M23),Conflicto armado multinivel,Activo — alta intensidad,Minería,Alta,África de Recursos Críticos,Núcleo,-2.5,28.9
18,África Subsahariana,Somalia,Guerra civil somalí,Guerra civil e insurgencia,Activo,Logística,Baja,—,Excluido,5.0,46.0
19,África Subsahariana,Etiopía,Conflictos internos etíopes,Tensiones étnico-regionales,Activo — intermitente,—,Baja,—,Excluido,9.0,39.0
20,África Subsahariana,Mali,Insurgencia en Mali,Insurgencia yihadista y conflicto interno,Activo,Minería,Media,—,Watchlist,17.0,-3.0
21,África Subsahariana,Burkina Faso,Insurgencia en Burkina Faso,Insurgencia yihadista,Activo — alta intensidad,Minería,Media,—,Watchlist,12.4,-1.5
22,África Subsahariana,Níger,Conflictos en fronteras,Insurgencia extremista,"Activo — post-golpe 2023, suministro tensionado",Energía,Alta,África de Recursos Críticos,Núcleo,17.6,8.1
23,África Subsahariana,Nigeria (Norte/Nordeste),Boko Haram / ISWAP,Conflicto armado no internacional,Activo,—,Baja,—,Excluido,11.8,13.2
24,África Subsahariana,Nigeria (Centro/Sur),Delta del Níger,Enfrentamientos y bandidaje,Activo,Energía,Media,—,Watchlist,5.0,6.3
25,África Subsahariana,Sudán del Sur,Violencia intercomunitaria,Inestabilidad política persistente,Activo,Energía,Baja,—,Excluido,7.5,30.0
26,África Subsahariana,Rep. Centroafricana,Conflicto armado interno,Enfrentamiento entre milicias,Activo,—,Baja,—,Excluido,6.6,20.9
27,África Subsahariana,Mozambique (Cabo Delgado),Insurgencia en Cabo Delgado,Insurgencia yihadista,Activo — reanudación de operaciones (proyecto GNL),Energía,Alta,África de Recursos Críticos,Núcleo,-12.3,40.5
28,África Subsahariana,Camerún,Crisis anglófona,Conflicto armado interno,Activo,—,Baja,—,Excluido,5.9,10.1
29,África Subsahariana,Chad,Insurgencia en el norte,Tensiones de grupos rebeldes,Activo,Energía,Baja,—,Excluido,15.5,18.7
30,África Subsahariana,Senegal,Conflicto de Casamance,Conflicto de baja intensidad,Baja intensidad,—,Baja,—,Excluido,12.6,-15.5
